Time[s], Data[Decimal]
0.4006872917,0
0.400688125,1
0.4006885417,0
0.400689375,1
0.4006897917,0
0.400690625,1
0.4006910417,0
0.400691875,1
0.4006922917,0
0.400693125,1
0.4006935417,0
0.400694375,1
0.4006947917,0
0.400695625,1
0.4006960417,0
0.400696875,1
0.4006972917,0
0.400698125,1
0.4006985417,0
0.400699375,1
0.4006997917,0
0.400700625,1
0.4007010417,0
0.400701875,1
0.4007022917,0
0.400703125,1
0.4007035417,0
0.400704375,1
0.4007047917,0
0.400705625,1
0.4007060417,0
0.400706875,1
0.4007072917,0
0.400708125,1
0.4007085417,0
0.400709375,1
0.4007097917,0
0.400710625,1
0.4007110417,0
0.400711875,1
0.4007122917,0
0.400713125,1
0.4007135417,0
0.400714375,1
0.4007147917,0
0.400715625,1
0.4007160417,0
0.400716875,1
0.4007172917,0
0.400718125,1
0.4007185417,0
0.400719375,1
0.4007197917,0
0.400720625,1
0.4007210417,0
0.400721875,1
0.4007222917,0
0.400723125,1
0.4007235417,0
0.400724375,1
0.4007247917,0
0.400725625,1
0.4007260417,0
0.400726875,1
0.4007272917,0
0.400728125,1
0.4007285417,0
0.400729375,1
0.4007297917,0
0.400730625,1
0.4007310417,0
0.400731875,1
0.4007322917,0
0.400733125,1
0.4007335417,0
0.400734375,1
0.4007347917,0
0.400735625,1
0.4007360417,0
0.400736875,1
0.4007372917,0
0.400738125,1
0.4007385417,0
0.400739375,1
0.4007397917,0
0.400740625,1
0.4007410417,0
0.400741875,1
0.4007422917,0
0.400743125,1
0.4007435417,0
0.400744375,1
0.4007447917,0
0.400745625,1
0.4007460417,0
0.400746875,1
0.4007472917,0
0.400748125,1
0.4007485417,0
0.400749375,1
0.4007497917,0
0.400750625,1
0.4007510417,0
0.400751875,1
0.4007522917,0
0.400753125,1
0.4007535417,0
0.400754375,1
0.4007547917,0
0.400755625,1
0.4007560417,0
0.400756875,1
0.4007572917,0
0.400758125,1
0.4007585417,0
0.400759375,1
0.4007597917,0
0.400760625,1
0.4007610417,0
0.400761875,1
0.4007622917,0
0.400763125,1
0.4007635417,0
0.400764375,1
0.4007647917,0
0.400765625,1
0.4007660417,0
0.400766875,1
0.4007672917,0
0.400768125,1
0.4007685417,0
0.400769375,1
0.4007697917,0
0.400770625,1
0.4007710417,0
0.400771875,1
0.4007722917,0
0.400773125,1
0.4007735417,0
0.400774375,1
0.4007747917,0
0.400775625,1
0.4007760417,0
0.400776875,1
0.4007772917,0
0.400778125,1
0.4007785417,0
0.400779375,1
0.4007797917,0
0.400780625,1
0.4007810417,0
0.400781875,1
0.4007822917,0
0.400783125,1
0.4007835417,0
0.400784375,1
0.4007847917,0
0.400785625,1
0.4007860417,0
0.400786875,1
0.4007872917,0
0.400788125,1
0.4007885417,0
0.400789375,1
0.4007897917,0
0.400790625,1
0.4007910417,0
0.400791875,1
0.4007922917,0
0.400793125,1
0.4007935417,0
0.400794375,1
0.4007947917,0
0.400795625,1
0.4007960417,0
0.400796875,1
0.4007972917,0
0.400798125,1
0.4007985417,0
0.400799375,1
0.4007997917,0
0.400800625,1
0.4008010417,0
0.400801875,1
0.4008022917,0
0.400803125,1
0.4008035417,0
0.400804375,1
0.4008047917,0
0.400805625,1
0.4008060417,0
0.400806875,1
0.4008072917,0
0.400808125,1
0.4008085417,0
0.400809375,1
0.4008097917,0
0.400810625,1
0.4008110417,0
0.400811875,1
0.4008122917,0
0.400813125,1
0.4008135417,0
0.400814375,1
0.4008147917,0
0.400815625,1
0.4008160417,0
0.400816875,1
0.4008172917,0
0.400818125,1
0.4008185417,0
0.400819375,1
0.4008197917,0
0.400820625,1
0.4008210417,0
0.400821875,1
0.4008222917,0
0.400823125,1
0.4008235417,0
0.400824375,1
0.4008247917,0
0.400825625,1
0.4008260417,0
0.400826875,1
0.4008272917,0
0.400828125,1
0.4008285417,0
0.400829375,1
0.4008297917,0
0.400830625,1
0.4008310417,0
0.400831875,1
0.4008322917,0
0.400833125,1
0.4008335417,0
0.400834375,1
0.4008347917,0
0.400835625,1
0.4008360417,0
0.400836875,1
0.4008372917,0
0.400838125,1
0.4008385417,0
0.400839375,1
0.4008397917,0
0.400840625,1
0.4008410417,0
0.400841875,1
0.4008422917,0
0.400843125,1
0.4008435417,0
0.400844375,1
0.4008447917,0
0.400845625,1
0.4008460417,0
0.400846875,1
0.4008472917,0
0.400848125,1
0.4008485417,0
0.400849375,1
0.4008497917,0
0.400850625,1
0.4008510417,0
0.400851875,1
0.4008522917,0
0.400853125,1
0.4008535417,0
0.400854375,1
0.4008547917,0
0.400855625,1
0.4008560417,0
0.400856875,1
0.4008572917,0
0.400858125,1
0.4008585417,0
0.400859375,1
0.4008597917,0
0.400860625,1
0.4008610417,0
0.400861875,1
0.4008622917,0
0.400863125,1
0.4008635417,0
0.400864375,1
0.4008647917,0
0.400865625,1
0.4008660417,0
0.400866875,1
0.4008672917,0
0.400868125,1
0.4008685417,0
0.400869375,1
0.4008697917,0
0.400870625,1
0.4008710417,0
0.400871875,1
0.4008722917,0
0.400873125,1
0.4008735417,0
0.400874375,1
0.4008747917,0
0.400875625,1
0.4008760417,0
0.400876875,1
0.4008772917,0
0.400878125,1
0.4008785417,0
0.400879375,1
0.4008797917,0
0.400880625,1
0.4008810417,0
0.400881875,1
0.4008822917,0
0.400883125,1
0.4008835417,0
0.400884375,1
0.4008847917,0
0.400885625,1
0.4008860417,0
0.400886875,1
0.4008872917,0
0.400888125,1
0.4008885417,0
0.400889375,1
